"Date","Open","High","Low","Close"
"Oct 02, 2020","$907.93","$907.93","$890.67","$890.67"
"Oct 01, 2020","$920.34","$920.34","$909.08","$909.08"
"Sep 30, 2020","$884.51","$904.20","$884.51","$904.20"
"Sep 29, 2020","$890.99","$898.93","$890.99","$898.93"
"Sep 28, 2020","$867.91","$895.31","$867.91","$895.31"
"Sep 25, 2020","$853.22","$853.22","$853.22","$853.22"
"Sep 24, 2020","$861.49","$861.49","$861.49","$861.49"
"Sep 23, 2020","$870.31","$870.31","$857.79","$857.79"
"Sep 22, 2020","$902.84","$902.84","$880.07","$880.07"
"Sep 21, 2020","$954.36","$954.36","$898.41","$898.41"
"Sep 18, 2020","$954.92","$954.92","$938.68","$938.68"
"Sep 17, 2020","$957.85","$960.34","$949.56","$949.56"
"Sep 16, 2020","$986.76","$986.76","$983.08","$983.08"
"Sep 15, 2020","$977.46","$984.79","$977.46","$984.79"
"Sep 14, 2020","$950.55","$968.24","$950.55","$968.24"
"Sep 11, 2020","$941.78","$946.53","$938.58","$938.58"
"Sep 10, 2020","$933.87","$941.19","$933.87","$941.19"
"Sep 09, 2020","$912.37","$931.80","$912.37","$931.80"
"Sep 08, 2020","$925.18","$925.18","$911.35","$913.37"
"Sep 07, 2020","$922.06","$922.06","$922.06","$922.06"
"Sep 04, 2020","$909.99","$923.58","$909.99","$916.26"
"Sep 03, 2020","$918.98","$918.98","$902.59","$902.59"
"Sep 02, 2020","$944.08","$944.08","$918.69","$918.69"
"Sep 01, 2020","$956.15","$956.15","$956.15","$956.15"
"Aug 31, 2020","$953.84","$953.84","$947.24","$947.24"
"Aug 28, 2020","$951.76","$951.76","$942.15","$942.15"
"Aug 27, 2020","$950.94","$950.94","$946.58","$946.58"
"Aug 26, 2020","$935.98","$956.83","$935.98","$956.83"
"Aug 25, 2020","$950.17","$950.17","$946.93","$946.93"
"Aug 24, 2020","$937.22","$952.65","$935.97","$935.97"
"Aug 21, 2020","$942.59","$942.59","$936.54","$936.54"
"Aug 20, 2020","$953.93","$953.93","$938.07","$938.07"
"Aug 19, 2020","$960.37","$960.37","$949.47","$949.47"
"Aug 18, 2020","$985.66","$985.66","$977.63","$977.63"
"Aug 17, 2020","$977.46","$977.46","$970.51","$970.51"
"Aug 14, 2020","$965.83","$968.06","$960.20","$961.58"
"Aug 13, 2020","$964.66","$975.49","$964.66","$975.49"
"Aug 12, 2020","$964.32","$964.32","$949.66","$952.56"
"Aug 11, 2020","$991.00","$991.00","$953.52","$953.52"
"Aug 10, 2020","$994.52","$1,003.72","$994.52","$1,003.72"
"Aug 07, 2020","$988.67","$995.90","$971.10","$976.70"
"Aug 06, 2020","$995.52","$1,012.55","$995.52","$1,012.55"
"Aug 05, 2020","$962.30","$987.13","$962.30","$987.13"
"Aug 04, 2020","$940.33","$952.21","$940.33","$952.21"
"Aug 03, 2020","$937.63","$937.63","$937.63","$937.63"
"Jul 31, 2020","$930.25","$930.25","$916.61","$916.61"
"Jul 30, 2020","$941.37","$941.37","$922.91","$922.91"
"Jul 29, 2020","$968.91","$968.91","$963.22","$963.22"
"Jul 28, 2020","$973.23","$973.23","$973.23","$973.23"
"Jul 27, 2020","$960.94","$960.94","$960.94","$960.94"
"Jul 24, 2020","$932.82","$932.82","$932.82","$932.82"
"Jul 23, 2020","$925.70","$934.59","$925.70","$934.59"
"Jul 22, 2020","$940.54","$940.54","$940.54","$940.54"
"Jul 21, 2020","$899.01","$899.01","$899.01","$899.01"
"Jul 20, 2020","$865.11","$865.45","$865.11","$865.45"
"Jul 17, 2020","$844.00","$855.85","$844.00","$855.85"
"Jul 16, 2020","$841.11","$841.11","$841.11","$841.11"
"Jul 15, 2020","$845.08","$845.08","$845.08","$845.08"
"Jul 14, 2020","$848.45","$848.45","$848.45","$848.45"
"Jul 13, 2020","$855.37","$855.37","$855.37","$855.37"
"Jul 10, 2020","$853.84","$853.84","$840.90","$840.90"
"Jul 09, 2020","$852.46","$852.46","$852.46","$852.46"
"Jul 08, 2020","$861.61","$864.62","$861.61","$864.62"
"Jul 07, 2020","$846.55","$860.74","$846.55","$853.68"
"Jul 06, 2020","$843.63","$843.63","$843.63","$843.63"
"Jul 03, 2020","$831.52","$831.52","$831.52","$831.52"
"Jul 02, 2020","$829.82","$829.82","$829.82","$829.82"
"Jul 01, 2020","$840.91","$840.91","$840.91","$840.91"
"Jun 30, 2020","$832.41","$845.05","$832.41","$845.05"
"Jun 29, 2020","$834.94","$836.49","$834.94","$836.49"
"Jun 26, 2020","$828.43","$828.43","$828.43","$828.43"
"Jun 25, 2020","$831.24","$831.24","$822.38","$822.38"
"Jun 24, 2020","$824.97","$824.97","$824.97","$824.97"
"Jun 23, 2020","$850.16","$850.16","$850.10","$850.10"
"Jun 22, 2020","$845.83","$845.83","$845.83","$845.83"
"Jun 19, 2020","$834.28","$834.28","$828.49","$828.49"
"Jun 18, 2020","$827.16","$827.16","$827.16","$827.16"
"Jun 17, 2020","$842.50","$842.50","$842.50","$842.50"
"Jun 16, 2020","$838.05","$845.31","$832.34","$845.31"
"Jun 15, 2020","$840.16","$840.16","$839.55","$839.55"
"Jun 12, 2020","$832.57","$832.57","$832.57","$832.57"
"Jun 11, 2020","$854.00","$858.66","$836.07","$837.32"
"Jun 10, 2020","$863.74","$871.37","$863.74","$866.89"
"Jun 09, 2020","$854.44","$858.22","$854.44","$858.22"
"Jun 08, 2020","$853.89","$860.28","$853.89","$860.28"
"Jun 05, 2020","$840.21","$840.21","$840.21","$840.21"
"Jun 04, 2020","$855.77","$865.58","$855.77","$865.58"
"Jun 03, 2020","$857.26","$857.26","$857.26","$857.26"
"Jun 02, 2020","$872.59","$872.59","$866.69","$866.69"
"Jun 01, 2020","$862.10","$873.57","$860.04","$871.85"
"May 29, 2020","$859.80","$859.80","$856.23","$856.23"
"May 28, 2020","$856.37","$856.37","$856.37","$856.37"
"May 27, 2020","$875.87","$876.27","$857.29","$857.29"
"May 26, 2020","$862.43","$862.43","$859.72","$859.72"
"May 25, 2020","$851.78","$863.35","$846.13","$863.35"
"May 22, 2020","$855.17","$855.17","$855.17","$855.17"
"May 21, 2020","$850.17","$882.06","$845.44","$869.08"
"May 20, 2020","$901.77","$901.77","$901.77","$901.77"
"May 19, 2020","$827.08","$851.21","$827.08","$851.21"
"May 18, 2020","$827.54","$827.54","$827.54","$827.54"
"May 15, 2020","$781.44","$830.62","$781.44","$830.62"
"May 14, 2020","$779.43","$781.46","$779.43","$781.46"
"May 13, 2020","$780.32","$780.32","$774.98","$775.25"
"May 12, 2020","$778.14","$778.14","$773.46","$773.46"
"May 11, 2020","$782.48","$782.48","$779.60","$779.60"
"May 08, 2020","$782.15","$782.15","$782.15","$782.15"
"May 07, 2020","$776.54","$776.54","$776.54","$776.54"
"May 06, 2020","$783.82","$783.82","$763.09","$764.90"
"May 05, 2020","$775.38","$781.35","$775.38","$778.44"
"May 04, 2020","$777.98","$777.98","$777.98","$777.98"
"May 01, 2020","$773.24","$777.20","$766.68","$776.24"
"Apr 30, 2020","$786.49","$786.49","$786.49","$786.49"
"Apr 29, 2020","$783.27","$792.26","$783.27","$792.26"
"Apr 28, 2020","$782.08","$782.08","$782.08","$782.08"
"Apr 27, 2020","$773.64","$802.46","$773.64","$802.46"
"Apr 24, 2020","$778.41","$778.41","$778.41","$778.41"
"Apr 23, 2020","$775.41","$782.29","$775.26","$782.29"
"Apr 22, 2020","$772.39","$772.39","$772.39","$772.39"
"Apr 21, 2020","$757.79","$757.79","$757.79","$757.79"
"Apr 20, 2020","$787.48","$787.48","$787.48","$787.48"
